Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,Value of Construction Put in Place - Seasonally Adjusted Annual Rate,,,,,,,,
(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,(Millions of dollars. Details may not add to totals due to rounding.),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Total
Construction1","Total
Residential","Total
Nonresidential","Total
Lodging","Total
Office","Total
Commercial","Total
Health care",Date,"Total
Educational","Total
Religious","Total
Public safety","Total
Amusement and recreation","Total
Transportation","Total
Communication",Date,"Total
Power","Total
Highway and street","Total
Sewage and waste disposal","Total
Water supply","Total
Conservation and development","Total
Manufacturing",Date,"Total
Private Construction2","Private
Residential","Private
Nonresidential","Private
Lodging","Private
Office","Private
Commercial","Private
Health care",Date,"Private
Educational","Private
Religious","Private
Amusement and recreation","Private
Transportation","Private
Communication","Private
Power","Private
Manufacturing",Date,"Total
Public Construction3","Public
Residential","Public
Nonresidential","Public
Office","Public
Commercial","Public
Health care","Public
Education",Date,"Public
Public safety","Public
Amusement and recreation","Public
Transportation","Public
Power","Public
Highway and street","Public
Sewage and waste disposal","Public
Water supply","Public
Conservation and development"
Sep-09,"882,651","257,919","624,731","21,972","45,797","49,091","43,694",Sep-09,"97,999","5,949","13,232","18,738","38,237","20,037",Sep-09,"89,229","83,418","24,321","14,847","5,337","52,833",Sep-09,"571,780","249,545","322,235","21,918","31,681","45,435","33,397",Sep-09,"16,043","5,899","7,517","9,082","20,017","77,660","52,194",Sep-09,"310,870","8,374","302,497","14,116","3,656","10,297","81,956",Sep-09,"12,753","11,221","29,155","11,569","83,271","23,837","14,592","5,310"
Aug-09,"894,413","253,075","641,338","23,033","49,817","49,238","44,037",Aug-09,"102,198","6,034","13,322","19,058","38,296","19,802",Aug-09,"92,522","83,320","23,971","14,969","5,605","56,118",Aug-09,"579,959","245,068","334,891","22,978","35,610","45,498","34,282",Aug-09,"16,890","6,024","7,994","9,146","19,790","79,868","55,482",Aug-09,"314,453","8,007","306,447","14,207","3,740","9,755","85,308",Aug-09,"12,841","11,064","29,150","12,654","83,239","23,462","14,741","5,574"
Jul-09,"905,929","247,133","658,796","25,181","52,132","52,280","44,406",Jul-09,"105,770","6,000","14,068","20,648","38,278","19,513",Jul-09,"92,951","83,856","24,368","15,531","5,569","58,244",Jul-09,"583,336","238,632","344,704","25,118","37,238","48,420","34,491",Jul-09,"16,770","5,988","9,237","9,323","19,483","79,580","57,699",Jul-09,"322,593","8,501","314,092","14,894","3,861","9,915","89,001",Jul-09,"13,609","11,411","28,955","13,371","83,780","23,873","15,223","5,550"
Jun-09,"906,874","239,570","667,304","27,214","53,647","54,204","46,267",Jun-09,"108,359","6,122","14,665","20,507","36,479","19,785",Jun-09,"92,115","82,980","24,244","15,487","5,333","59,897",Jun-09,"585,913","231,686","354,227","27,142","38,936","50,264","36,535",Jun-09,"17,941","6,118","8,857","9,456","19,729","78,589","59,394",Jun-09,"320,961","7,883","313,078","14,711","3,940","9,732","90,419",Jun-09,"14,194","11,650","27,023","13,526","82,881","23,838","15,208","5,324"
May-09,"913,346","237,725","675,621","29,344","55,161","58,363","46,162",May-09,"108,806","5,985","14,535","20,627","35,913","19,977",May-09,"90,793","80,498","25,053","15,217","5,438","63,751",May-09,"596,271","230,514","365,757","29,273","40,822","54,754","36,539",May-09,"17,964","5,985","9,316","9,639","19,920","76,986","63,219",May-09,"317,075","7,211","309,864","14,339","3,609","9,623","90,842",May-09,"14,018","11,311","26,274","13,807","80,409","24,607","14,941","5,427"
Apr-09,"927,259","246,013","681,247","31,186","55,312","61,813","46,710",Apr-09,"108,547","6,776","14,154","20,237","34,684","20,309",Apr-09,"89,169","80,423","25,180","16,304","6,164","64,279",Apr-09,"608,363","238,736","369,627","31,098","41,091","58,443","37,889",Apr-09,"17,577","6,775","9,290","9,494","20,268","72,552","63,750",Apr-09,"318,896","7,277","311,619","14,221","3,371","8,821","90,970",Apr-09,"13,773","10,948","25,190","16,617","80,229","24,674","16,007","6,141"
Mar-09,"958,360","257,094","701,265","30,782","57,314","64,736","47,829",Mar-09,"111,374","6,817","14,050","20,419","34,992","19,352",Mar-09,"99,522","80,220","26,711","16,118","6,187","64,842",Mar-09,"632,878","249,211","383,667","30,694","42,690","60,863","38,617",Mar-09,"18,050","6,814","9,499","9,231","19,322","82,088","64,284",Mar-09,"325,481","7,883","317,598","14,624","3,873","9,212","93,324",Mar-09,"13,592","10,920","25,761","17,434","80,107","26,194","15,799","6,079"
Feb-09,"965,536","269,941","695,595","30,874","59,548","67,281","47,933",Feb-09,"108,516","7,055","14,684","20,419","37,115","18,469",Feb-09,"87,585","81,852","24,829","16,398","5,999","67,038",Feb-09,"644,170","261,765","382,404","30,751","44,849","63,821","38,720",Feb-09,"18,178","7,037","9,392","9,027","18,436","74,239","66,482",Feb-09,"321,367","8,176","313,191","14,699","3,460","9,213","90,338",Feb-09,"14,213","11,027","28,088","13,346","81,762","24,261","16,072","5,982"
Jan-09,"969,641","286,065","683,576","30,390","62,660","68,643","46,907",Jan-09,"106,430","7,139","14,383","19,450","35,012","20,551",Jan-09,"81,341","80,846","25,134","15,626","4,660","64,403",Jan-09,"660,089","278,412","381,677","30,258","47,834","65,512","38,230",Jan-09,"18,633","7,133","9,018","8,801","20,487","70,358","63,869",Jan-09,"309,552","7,653","301,899","14,826","3,130","8,677","87,797",Jan-09,"13,879","10,432","26,211","10,983","80,732","24,542","15,315","4,638"
Dec-08,"999,397","301,590","697,808","33,329","64,685","72,896","47,933",Dec-08,"104,881","7,451","15,143","20,838","34,860","22,665",Dec-08,"83,514","81,003","26,628","17,425","5,709","58,850",Dec-08,"687,441","294,255","393,186","33,050","50,348","69,772","39,453",Dec-08,"18,357","7,451","9,521","9,517","22,599","73,256","58,386",Dec-08,"311,957","7,334","304,622","14,337","3,124","8,480","86,524",Dec-08,"14,721","11,317","25,342","10,258","80,885","26,091","17,070","5,666"
Nov-08,"1,035,666","320,917","714,749","36,508","67,926","77,345","48,862",Nov-08,"105,973","7,469","14,815","21,088","35,347","23,260",Nov-08,"83,581","84,013","26,924","17,682","5,219","58,739",Nov-08,"718,769","313,173","405,596","36,288","54,308","74,155","40,437",Nov-08,"19,125","7,448","9,699","9,665","23,168","71,451","58,318",Nov-08,"316,897","7,744","309,153","13,617","3,191","8,425","86,849",Nov-08,"14,378","11,389","25,682","12,130","83,884","26,267","17,405","5,185"
Oct-08,"1,056,331","337,197","719,135","37,826","68,076","80,491","48,001",Oct-08,"107,141","7,480","13,623","21,824","36,319","23,429",Oct-08,"83,671","83,075","26,729","17,153","5,099","59,197",Oct-08,"742,000","329,677","412,323","37,596","54,526","77,108","39,149",Oct-08,"19,624","7,480","10,703","9,891","23,309","72,349","58,710",Oct-08,"314,332","7,520","306,812","13,550","3,383","8,852","87,516",Oct-08,"13,115","11,121","26,427","11,322","82,927","25,977","16,747","5,037"
Sep-08,"1,059,898","348,526","711,372","37,836","69,950","82,703","47,198",Sep-08,"105,143","7,329","13,153","21,488","35,715","24,371",Sep-08,"80,576","81,772","25,484","16,821","4,670","57,161",Sep-08,"751,340","340,716","410,624","37,579","56,122","79,537","39,023",Sep-08,"19,243","7,261","10,145","10,064","24,242","68,898","56,654",Sep-08,"308,559","7,810","300,748","13,828","3,166","8,175","85,900",Sep-08,"12,684","11,343","25,651","11,678","81,638","24,710","16,405","4,606"
Aug-08,"1,069,183","359,490","709,693","38,212","68,358","85,226","47,132",Aug-08,"108,059","6,874","12,843","21,614","36,066","24,129",Aug-08,"76,842","81,947","24,939","17,016","5,553","54,884",Aug-08,"755,499","351,705","403,794","37,793","55,254","81,618","38,453",Aug-08,"18,861","6,845","10,410","10,045","23,988","64,184","54,380",Aug-08,"313,684","7,785","305,899","13,104","3,609","8,679","89,199",Aug-08,"12,300","11,204","26,020","12,658","81,821","24,265","16,465","5,485"
Jul-08,"1,086,874","372,678","714,196","37,459","68,936","89,129","47,651",Jul-08,"106,403","7,184","12,858","21,665","35,616","26,250",Jul-08,"78,443","80,264","25,553","18,042","5,774","52,970",Jul-08,"776,265","364,796","411,470","37,177","55,728","85,398","39,444",Jul-08,"19,008","7,184","10,714","9,864","26,131","66,344","52,515",Jul-08,"310,609","7,882","302,727","13,208","3,731","8,207","87,395",Jul-08,"12,227","10,951","25,752","12,098","80,068","24,854","17,684","5,696"
Jun-08,"1,089,511","381,412","708,098","37,087","68,357","89,302","46,596",Jun-08,"105,337","6,924","12,255","21,932","35,113","26,768",Jun-08,"76,479","79,418","25,151","17,366","5,269","54,745",Jun-08,"781,953","373,908","408,045","36,766","55,408","85,290","38,487",Jun-08,"18,405","6,848","10,563","9,384","26,617","63,990","54,289",Jun-08,"307,558","7,505","300,053","12,949","4,012","8,109","86,932",Jun-08,"11,601","11,369","25,729","12,490","79,236","24,440","16,933","5,249"
May-08,"1,101,187","388,975","712,212","37,244","67,773","91,107","46,459",May-08,"105,482","7,136","12,719","22,931","34,330","30,207",May-08,"78,117","78,669","25,091","16,904","4,937","53,107",May-08,"795,867","381,551","414,316","36,900","55,081","87,302","38,113",May-08,"18,258","7,088","11,332","9,097","29,996","66,592","52,617",May-08,"305,320","7,424","297,896","12,692","3,806","8,345","87,224",May-08,"12,076","11,600","25,233","11,525","78,488","24,386","16,528","4,901"
Apr-08,"1,101,416","392,965","708,451","36,055","69,285","91,753","45,965",Apr-08,"102,861","7,120","12,186","22,353","35,028","28,555",Apr-08,"78,686","82,222","25,384","15,653","4,911","50,433",Apr-08,"796,904","385,491","411,413","35,636","56,825","87,956","37,478",Apr-08,"18,078","7,109","10,495","10,059","28,292","67,352","49,910",Apr-08,"304,512","7,474","297,038","12,460","3,797","8,487","84,783",Apr-08,"11,451","11,858","24,969","11,334","82,028","24,713","15,073","4,870"
Mar-08,"1,103,580","397,603","705,977","33,876","68,640","89,516","46,162",Mar-08,"102,377","7,084","12,669","22,290","36,074","29,905",Mar-08,"78,767","82,642","25,733","15,957","5,279","49,005",Mar-08,"797,041","390,604","406,437","33,143","56,232","85,821","37,461",Mar-08,"17,994","7,067","10,720","10,718","29,641","66,792","48,567",Mar-08,"306,539","6,998","299,540","12,408","3,695","8,701","84,384",Mar-08,"11,900","11,571","25,357","11,975","82,405","25,130","15,345","5,218"
Feb-08,"1,097,891","394,436","703,456","32,618","69,603","93,845","45,397",Feb-08,"100,490","7,202","12,262","22,047","36,277","28,701",Feb-08,"81,366","78,084","25,374","16,444","5,197","48,550",Feb-08,"798,568","387,440","411,129","31,796","57,067","90,198","36,856",Feb-08,"18,042","7,197","10,993","10,673","28,599","69,124","48,028",Feb-08,"299,323","6,996","292,327","12,535","3,647","8,541","82,448",Feb-08,"11,423","11,054","25,604","12,242","77,736","24,756","15,771","5,119"
Jan-08,"1,111,687","409,760","701,927","31,615","69,245","93,425","44,604",Jan-08,"102,040","7,495","12,175","22,189","34,738","30,096",Jan-08,"84,887","76,266","25,140","13,995","5,330","48,688",Jan-08,"817,436","402,478","414,958","30,643","57,686","89,764","36,213",Jan-08,"18,519","7,436","11,107","9,794","30,023","72,961","48,190",Jan-08,"294,251","7,282","286,970","11,559","3,661","8,390","83,521",Jan-08,"11,272","11,082","24,945","11,926","75,757","24,630","13,367","5,258"
Dec-07,"1,114,939","423,496","691,443","32,640","68,416","89,432","44,493",Dec-07,"101,267","7,287","11,514","21,875","33,451","29,541",Dec-07,"79,254","78,688","25,304","14,305","5,682","48,293",Dec-07,"818,244","416,284","401,961","31,643","56,579","85,811","36,331",Dec-07,"17,697","7,287","11,048","9,443","29,450","66,334","47,937",Dec-07,"296,694","7,212","289,482","11,837","3,621","8,162","83,570",Dec-07,"10,723","10,827","24,008","12,919","78,242","24,848","13,648","5,632"
Nov-07,"1,133,745","439,981","693,764","33,846","69,032","92,246","45,165",Nov-07,"102,152","7,134","11,727","22,026","33,778","28,221",Nov-07,"78,799","78,990","25,566","15,021","5,438","44,624",Nov-07,"834,852","432,715","402,136","32,788","57,025","88,550","36,472",Nov-07,"17,633","7,095","11,252","9,581","28,098","66,933","44,181",Nov-07,"298,893","7,266","291,628","12,007","3,695","8,693","84,519",Nov-07,"10,948","10,775","24,198","11,866","78,515","24,971","14,369","5,411"
Oct-07,"1,153,031","455,585","697,446","34,387","69,229","92,441","45,559",Oct-07,"99,029","7,341","10,912","21,999","34,115","28,837",Oct-07,"78,935","77,702","25,710","15,868","5,765","49,616",Oct-07,"857,088","448,359","408,729","33,136","56,815","88,940","36,744",Oct-07,"17,715","7,302","10,889","9,473","28,679","67,546","49,256",Oct-07,"295,943","7,226","288,717","12,414","3,501","8,815","81,314",Oct-07,"10,224","11,110","24,642","11,389","77,235","25,284","15,234","5,746"
Sep-07,"1,158,334","472,749","685,585","32,166","67,242","92,530","44,684",Sep-07,"98,939","7,759","11,371","22,310","33,230","28,829",Sep-07,"72,675","78,167","25,627","16,158","5,440","48,459",Sep-07,"860,995","465,463","395,532","30,457","55,553","88,628","36,378",Sep-07,"17,542","7,702","10,575","9,351","28,655","60,551","48,027",Sep-07,"297,339","7,286","290,053","11,689","3,901","8,306","81,397",Sep-07,"10,651","11,735","23,879","12,124","77,714","25,276","15,622","5,386"
Aug-07,"1,158,779","488,519","670,260","30,190","67,669","92,583","44,738",Aug-07,"99,067","7,525","10,254","22,736","33,047","28,528",Aug-07,"71,026","76,396","24,772","15,848","5,037","40,845",Aug-07,"865,347","480,676","384,672","28,883","54,451","88,662","35,903",Aug-07,"17,518","7,521","10,962","9,555","28,473","60,345","40,314",Aug-07,"293,431","7,843","285,589","13,218","3,920","8,835","81,549",Aug-07,"9,640","11,774","23,493","10,681","75,965","24,405","15,322","4,890"
Jul-07,"1,155,029","503,067","651,962","29,754","64,135","90,645","43,512",Jul-07,"99,169","7,616","10,213","21,931","33,309","26,924",Jul-07,"66,369","72,330","24,311","15,207","5,292","41,246",Jul-07,"866,187","495,556","370,632","28,532","51,817","86,673","35,103",Jul-07,"17,493","7,591","10,380","9,050","26,853","54,367","40,927",Jul-07,"288,841","7,511","281,330","12,319","3,972","8,409","81,675",Jul-07,"9,630","11,551","24,259","12,002","71,985","23,965","14,807","5,121"
Jun-07,"1,162,937","512,950","649,987","28,772","64,251","91,994","42,846",Jun-07,"98,341","7,616","10,017","20,331","31,421","28,225",Jun-07,"66,448","75,674","24,427","16,302","5,291","38,032",Jun-07,"874,858","505,362","369,495","27,433","52,398","88,093","34,806",Jun-07,"16,880","7,612","10,040","9,200","28,115","55,295","37,526",Jun-07,"288,080","7,587","280,492","11,853","3,901","8,040","81,462",Jun-07,"9,425","10,291","22,221","11,153","75,261","24,004","15,790","5,132"
May-07,"1,161,625","521,544","640,082","27,877","64,264","91,396","43,394",May-07,"96,196","7,595","9,657","21,476","30,881","27,683",May-07,"61,747","75,974","24,460","16,713","5,087","35,682",May-07,"872,224","514,176","358,048","26,479","52,676","87,584","34,984",May-07,"15,984","7,574","9,943","8,638","27,616","49,362","35,234",May-07,"289,401","7,368","282,034","11,588","3,812","8,410","80,212",May-07,"9,149","11,533","22,243","12,385","75,536","24,099","16,220","4,913"
Apr-07,"1,150,637","530,796","619,841","26,348","61,643","87,248","42,988",Apr-07,"93,790","7,519","9,314","20,365","30,262","25,741",Apr-07,"57,154","75,967","24,353","16,377","4,572","36,201",Apr-07,"868,892","523,714","345,178","25,103","51,523","83,531","35,047",Apr-07,"15,768","7,519","9,616","8,988","25,695","44,520","35,825",Apr-07,"281,745","7,082","274,663","10,119","3,717","7,941","78,022",Apr-07,"8,818","10,749","21,275","12,634","75,497","23,923","15,873","4,428"
Mar-07,"1,146,756","534,787","611,969","24,845","64,076","84,793","42,705",Mar-07,"90,904","7,535","9,284","20,360","28,916","26,845",Mar-07,"56,951","75,742","23,433","16,313","4,869","34,401",Mar-07,"868,351","527,997","340,354","23,653","53,619","80,852","35,014",Mar-07,"15,041","7,529","9,765","8,608","26,758","43,766","33,954",Mar-07,"278,405","6,790","271,615","10,457","3,941","7,692","75,863",Mar-07,"8,839","10,595","20,308","13,185","75,239","23,076","15,912","4,776"
Feb-07,"1,138,752","537,980","600,773","22,241","60,919","84,275","42,562",Feb-07,"89,106","7,700","8,709","18,947","29,037","26,671",Feb-07,"52,951","76,517","25,581","15,792","4,889","34,876",Feb-07,"863,700","531,361","332,339","21,182","51,248","80,407","35,270",Feb-07,"15,407","7,689","8,698","8,170","26,619","41,447","34,468",Feb-07,"275,052","6,619","268,434","9,671","3,868","7,292","73,699",Feb-07,"8,271","10,249","20,867","11,504","76,093","25,216","15,406","4,770"
Jan-07,"1,138,412","544,590","593,821","21,403","61,495","81,996","42,053",Jan-07,"90,208","7,864","8,828","19,668","28,914","23,853",Jan-07,"49,150","78,567","24,970","15,425","5,662","33,765",Jan-07,"858,314","538,065","320,249","20,478","51,815","77,865","34,572",Jan-07,"14,950","7,858","8,990","7,740","23,777","37,115","33,382",Jan-07,"280,098","6,525","273,573","9,680","4,131","7,481","75,257",Jan-07,"8,410","10,678","21,174","12,035","78,215","24,598","14,974","5,549"
Dec-06,"1,134,855","551,189","583,666","20,846","59,672","81,486","41,866",Dec-06,"91,920","7,815","8,456","20,392","29,466","23,990",Dec-06,"47,945","72,324","23,745","15,312","5,342","33,088",Dec-06,"864,622","544,460","320,162","19,914","50,482","77,579","34,704",Dec-06,"15,097","7,812","9,646","8,832","23,928","37,608","32,700",Dec-06,"270,232","6,729","263,503","9,189","3,907","7,162","76,823",Dec-06,"8,013","10,746","20,633","10,337","71,882","23,343","14,822","5,261"
Nov-06,"1,122,263","555,812","566,451","21,212","57,653","79,571","40,154",Nov-06,"88,047","7,780","8,155","20,158","28,279","23,042",Nov-06,"44,987","70,891","23,523","15,199","5,114","32,686",Nov-06,"861,649","549,484","312,164","20,207","48,541","75,553","33,233",Nov-06,"14,730","7,747","9,910","8,578","23,000","36,433","32,408",Nov-06,"260,614","6,328","254,286","9,112","4,018","6,921","73,317",Nov-06,"7,717","10,248","19,701","8,554","70,446","23,104","14,751","5,038"
Oct-06,"1,123,281","568,119","555,162","20,797","56,759","76,633","39,509",Oct-06,"85,377","7,723","8,103","20,310","27,777","23,304",Oct-06,"42,046","69,912","24,034","15,168","4,990","32,721",Oct-06,"866,378","561,811","304,567","19,974","47,311","72,694","32,761",Oct-06,"14,394","7,716","10,229","8,363","23,277","33,813","32,318",Oct-06,"256,903","6,308","250,595","9,449","3,940","6,748","70,983",Oct-06,"7,693","10,081","19,414","8,232","69,466","23,692","14,715","4,922"
Sep-06,"1,136,144","580,144","556,000","19,628","56,502","77,977","39,608",Sep-06,"84,416","7,560","7,834","20,502","27,766","23,392",Sep-06,"41,841","70,659","23,314","14,966","5,363","34,674",Sep-06,"881,363","574,270","307,094","18,890","47,777","74,597","33,085",Sep-06,"13,901","7,556","10,185","8,279","23,372","33,405","34,212",Sep-06,"254,781","5,875","248,906","8,726","3,380","6,523","70,515",Sep-06,"7,441","10,318","19,486","8,436","70,247","23,010","14,343","5,259"
Aug-06,"1,146,049","590,330","555,719","19,387","57,075","76,781","39,374",Aug-06,"83,530","7,589","7,229","20,065","27,763","22,352",Aug-06,"41,903","73,190","23,456","14,742","5,035","36,248",Aug-06,"891,165","584,601","306,563","18,805","48,623","73,435","33,008",Aug-06,"13,190","7,577","9,858","7,997","22,297","34,016","35,881",Aug-06,"254,884","5,729","249,155","8,452","3,346","6,366","70,340",Aug-06,"6,863","10,207","19,766","7,888","72,577","23,174","14,222","4,939"
Jul-06,"1,157,784","603,878","553,906","19,132","56,694","76,221","38,721",Jul-06,"84,821","7,679","7,583","19,578","28,479","21,919",Jul-06,"40,594","76,186","23,418","15,137","5,209","32,535",Jul-06,"899,746","598,344","301,402","18,688","48,280","73,227","32,258",Jul-06,"13,370","7,672","9,519","8,835","21,868","33,838","32,092",Jul-06,"258,037","5,534","252,504","8,414","2,994","6,463","71,452",Jul-06,"7,162","10,059","19,644","6,756","75,761","23,093","14,639","5,122"
Jun-06,"1,172,074","621,166","550,909","18,494","54,943","75,894","39,022",Jun-06,"84,681","7,773","7,545","19,081","28,808","21,650",Jun-06,"42,229","74,399","22,852","15,001","5,220","33,318",Jun-06,"914,333","614,999","299,334","18,120","46,537","73,107","32,570",Jun-06,"13,552","7,773","9,033","9,022","21,622","33,251","33,010",Jun-06,"257,741","6,167","251,575","8,405","2,787","6,452","71,129",Jun-06,"7,145","10,048","19,785","8,978","73,872","22,559","14,568","5,136"
May-06,"1,180,699","640,166","540,532","17,269","53,233","75,490","37,688",May-06,"83,137","7,911","7,747","19,149","27,688","21,201",May-06,"41,016","73,929","22,149","15,395","5,348","32,184",May-06,"926,859","633,932","292,927","16,952","45,024","72,497","31,340",May-06,"13,792","7,876","9,709","8,700","21,174","32,185","31,848",May-06,"253,839","6,234","247,605","8,209","2,993","6,349","69,345",May-06,"7,322","9,440","18,988","8,830","73,387","21,858","14,903","5,269"
Apr-06,"1,192,849","656,452","536,398","17,444","52,392","73,856","37,058",Apr-06,"83,236","7,817","7,753","18,141","27,457","21,537",Apr-06,"40,721","74,019","22,681","14,697","5,283","32,307",Apr-06,"937,592","649,941","287,651","17,106","43,884","70,472","30,768",Apr-06,"13,715","7,812","9,188","8,412","21,511","31,277","31,862",Apr-06,"255,257","6,510","248,746","8,508","3,384","6,290","69,521",Apr-06,"7,336","8,953","19,045","9,444","73,543","22,427","14,276","5,206"
Mar-06,"1,205,018","674,306","530,712","15,619","49,179","74,922","36,751",Mar-06,"84,429","8,032","7,688","17,251","27,974","21,285",Mar-06,"41,740","70,702","23,609","15,065","5,143","31,325",Mar-06,"953,525","668,160","285,365","15,394","41,573","71,801","30,549",Mar-06,"13,568","8,029","8,383","9,132","21,276","32,962","30,851",Mar-06,"251,494","6,146","245,347","7,606","3,121","6,202","70,861",Mar-06,"7,217","8,869","18,843","8,778","70,141","23,328","14,614","5,058"
Feb-06,"1,205,060","683,903","521,157","14,272","49,018","74,345","36,434",Feb-06,"83,987","7,839","7,733","16,979","27,114","21,318",Feb-06,"42,112","68,677","23,037","14,338","4,530","29,424",Feb-06,"958,267","677,984","280,283","14,074","41,160","71,295","30,242",Feb-06,"13,516","7,836","8,345","9,340","21,300","32,754","28,900",Feb-06,"246,794","5,920","240,874","7,858","3,051","6,192","70,471",Feb-06,"7,327","8,634","17,774","9,358","68,286","22,826","13,911","4,445"
Jan-06,"1,195,698","681,319","514,379","13,561","46,915","76,900","35,678",Jan-06,"83,383","7,435","7,423","16,272","26,374","21,818",Jan-06,"39,569","66,892","22,527","14,787","4,616","30,231",Jan-06,"953,079","675,735","277,343","13,358","38,860","73,518","29,799",Jan-06,"13,438","7,432","7,839","8,658","21,794","31,412","29,698",Jan-06,"242,619","5,584","237,035","8,055","3,382","5,879","69,946",Jan-06,"6,980","8,433","17,716","8,156","66,507","22,299","14,377","4,543"
Dec-05,"1,184,609","676,066","508,540","13,919","45,910","75,447","35,070",Dec-05,"83,971","7,539","7,226","15,952","26,056","19,878",Dec-05,"40,385","66,287","21,965","14,403","4,658","29,877",Dec-05,"942,847","670,454","272,395","13,770","38,097","72,105","29,308",Dec-05,"12,916","7,522","7,798","8,190","19,831","31,748","29,672",Dec-05,"241,758","5,613","236,145","7,814","3,342","5,762","71,055",Dec-05,"6,768","8,154","17,866","8,637","65,989","21,738","14,047","4,559"
Nov-05,"1,172,553","671,220","501,333","13,651","44,598","73,931","35,035",Nov-05,"81,999","7,539","7,679","15,910","26,035","19,613",Nov-05,"39,256","65,950","21,529","14,474","4,343","29,791",Nov-05,"935,211","665,840","269,373","13,486","37,299","70,571","29,287",Nov-05,"12,595","7,528","8,025","7,926","19,559","32,013","29,590",Nov-05,"237,341","5,381","231,960","7,298","3,360","5,747","69,404",Nov-05,"7,212","7,885","18,109","7,244","65,639","21,321","14,063","4,247"
Oct-05,"1,160,818","664,394","496,421","13,710","45,186","73,080","35,885",Oct-05,"80,562","7,335","7,709","15,280","25,909","18,587",Oct-05,"39,074","65,687","20,353","14,229","4,346","29,492",Oct-05,"924,022","658,577","265,451","13,529","37,286","69,672","29,806",Oct-05,"12,763","7,329","7,405","7,708","18,510","30,448","29,294",Oct-05,"236,787","5,817","230,970","7,899","3,407","6,079","67,798",Oct-05,"7,304","7,876","18,200","8,626","65,237","19,999","13,824","4,258"
Sep-05,"1,148,733","653,043","495,687","13,453","45,948","70,744","37,278",Sep-05,"80,667","7,582","8,067","15,111","25,564","18,422",Sep-05,"38,490","66,022","20,004","14,270","4,709","29,359",Sep-05,"910,850","647,669","263,183","13,285","37,948","67,352","31,174",Sep-05,"13,106","7,566","7,670","7,418","18,374","28,936","29,048",Sep-05,"237,879","5,374","232,504","8,000","3,393","6,103","67,561",Sep-05,"7,628","7,441","18,146","9,554","65,774","19,819","13,978","4,565"
Aug-05,"1,129,503","639,841","489,660","12,686","43,952","70,466","35,887",Aug-05,"80,763","7,451","7,449","15,102","25,331","19,137",Aug-05,"38,513","64,349","19,928","14,755","4,685","29,207",Aug-05,"891,648","634,050","257,599","12,439","35,750","66,490","29,825",Aug-05,"12,995","7,451","6,900","7,178","19,051","29,134","29,024",Aug-05,"237,852","5,791","232,061","8,202","3,976","6,062","67,769",Aug-05,"6,985","8,202","18,152","9,380","64,049","19,741","14,478","4,548"
Jul-05,"1,118,698","634,169","484,528","11,986","43,947","69,164","35,208",Jul-05,"80,710","7,946","7,480","14,752","24,656","19,010",Jul-05,"39,409","63,504","20,532","13,837","4,700","27,689",Jul-05,"882,249","628,348","253,900","11,814","35,468","65,441","29,224",Jul-05,"12,844","7,914","6,870","6,843","18,900","29,529","27,589",Jul-05,"236,450","5,822","230,628","8,479","3,723","5,983","67,866",Jul-05,"6,899","7,883","17,814","9,880","63,092","20,396","13,602","4,599"
Jun-05,"1,105,851","622,681","483,170","11,662","45,711","68,269","33,677",Jun-05,"81,039","7,769","7,694","14,672","24,352","18,934",Jun-05,"39,296","63,388","20,222","14,047","4,767","27,671",Jun-05,"868,938","616,913","252,025","11,284","37,258","64,556","27,661",Jun-05,"12,834","7,757","7,081","6,895","18,753","29,137","27,548",Jun-05,"236,913","5,768","231,145","8,453","3,713","6,016","68,204",Jun-05,"7,268","7,590","17,457","10,158","63,138","19,986","13,866","4,599"
May-05,"1,093,516","609,345","484,170","11,926","46,074","70,503","33,997",May-05,"80,324","7,707","7,002","14,836","24,019","18,768",May-05,"40,485","62,550","19,798","14,483","4,520","27,179",May-05,"859,324","603,883","255,438","11,822","37,947","66,885","27,775",May-05,"12,597","7,665","7,110","6,968","18,739","29,436","27,051",May-05,"234,195","5,463","228,732","8,126","3,618","6,222","67,727",May-05,"6,622","7,726","17,050","11,050","62,198","19,519","14,208","4,364"
