,years,"Unemployment Rate, 16-24yo","Unemployment Rate, 20-24yo","Unemployment Rate, Men, 20-24yo","Unemployment Rate, Women, 20-24yo","Unemployment Rate, 25-34yo","Unemployment Rate, Men, 25-34yo","Unemployment Rate, Women, 25-34yo","Unemployment Rate, 35-44yo","Unemployment Rate, Men, 35-44yo","Unemployment Rate, Women, 35-44yo","Unemployment Rate, 45-54yo","Unemployment Rate, Men, 45-54yo","Unemployment Rate, Women, 45-54yo","Unemployment Rate, 55yo and over","Unemployment Rate, Men, 55yo and over","Unemployment Rate, Women, 55yo and over","Unemployment Rate, 25yo and over","Unemployment Rate, Men, 25yo and over","Unemployment Rate, Women, 25yo and over"
30,2016,10.6,8.6,9.3,7.8,5.2,5.2,5.2,3.8,3.6,4.1,3.4,3.3,3.5,3.5,3.8,3.3,4.0,,4.1
31,2016,10.5,8.4,9.1,7.7,5.1,5.1,5.1,3.6,3.4,3.8,3.4,3.2,3.6,3.4,3.8,3.2,3.9,,3.9
32,2016,11.0,9.1,9.6,8.5,5.2,5.3,5.1,4.0,3.7,4.4,3.6,3.5,3.7,3.7,3.8,3.6,4.1,,4.1
33,2016,10.8,8.8,9.2,8.3,5.2,5.0,5.4,3.8,3.5,4.1,3.6,3.5,3.7,3.9,3.9,3.9,4.1,,4.3
34,2016,10.4,8.6,9.2,8.0,5.0,5.0,5.0,3.7,3.6,4.0,3.6,3.3,3.8,3.8,3.9,3.5,4.0,,4.1
35,2016,10.0,7.8,8.7,6.8,5.1,5.1,5.1,3.9,3.5,4.4,3.6,3.4,3.8,3.7,3.8,3.5,4.0,,4.1
12,2017,8.9,7.0,7.9,6.1,4.4,4.3,4.5,3.0,2.6,3.4,2.7,2.8,2.7,3.3,3.3,3.2,3.4,,3.5
13,2017,9.8,7.3,8.6,5.9,4.3,4.1,4.4,3.1,2.8,3.5,2.8,2.8,2.8,3.1,3.3,2.8,3.3,,3.4
14,2017,9.1,7.2,8.0,6.3,4.4,4.3,4.5,3.0,2.8,3.3,2.8,2.8,2.7,3.1,3.3,2.8,3.3,,3.4
15,2017,9.2,7.6,8.7,6.4,4.5,4.3,4.6,3.2,2.9,3.5,3.1,3.0,3.1,3.2,3.2,3.4,3.5,,3.7
16,2017,9.1,7.2,7.8,6.6,4.8,4.8,4.7,3.3,3.2,3.5,3.4,3.4,3.5,3.2,3.2,3.0,3.7,,3.7
20,2017,9.5,7.4,8.4,6.4,4.4,4.3,4.4,3.6,3.4,3.9,3.5,2.9,4.1,3.2,3.2,3.3,3.7,,3.9
18,2017,9.1,7.4,8.4,6.4,4.4,4.5,4.2,3.4,3.2,3.6,3.5,3.3,3.7,3.1,3.0,3.3,3.6,,3.7
19,2017,8.7,6.7,7.9,5.3,4.9,4.7,5.2,3.5,3.1,3.9,3.3,3.1,3.5,3.1,3.0,3.4,3.7,,4.0
21,2017,9.2,7.4,8.5,6.3,4.5,4.8,4.2,3.8,3.6,4.1,3.2,3.1,3.4,3.3,3.4,3.4,3.7,,3.7
22,2017,9.7,8.0,9.4,6.5,4.7,4.9,4.4,4.1,3.7,4.4,3.2,3.0,3.5,3.4,3.2,3.5,3.9,,4.0
23,2017,9.8,7.9,9.0,6.7,4.9,5.0,4.8,3.9,3.7,4.1,3.3,3.2,3.5,3.5,3.3,3.6,3.9,,4.0
17,2017,8.9,7.3,8.0,6.5,4.6,4.5,4.7,3.5,3.5,3.5,3.1,3.1,3.1,3.1,3.0,3.2,3.6,,3.6
1,2018,8.2,6.6,7.4,5.8,3.7,3.3,4.1,2.9,2.9,2.9,2.7,2.7,2.7,2.8,2.9,2.8,3.1,,3.2
2,2018,8.4,6.8,7.4,6.2,3.7,3.7,3.6,3.0,3.1,2.9,2.8,2.7,2.9,2.8,2.6,3.0,3.1,,3.1
3,2018,8.6,7.0,7.6,6.4,3.6,3.5,3.7,3.0,3.0,2.8,2.6,2.6,2.6,2.8,2.9,2.9,3.0,,3.0
4,2018,8.5,6.8,7.5,6.1,4.1,4.0,4.1,2.8,2.6,3.1,2.5,2.4,2.7,3.0,3.0,3.0,3.1,,3.2
5,2018,8.6,6.8,7.4,6.2,3.5,3.5,3.6,3.0,2.5,3.5,2.9,2.7,3.0,3.1,3.1,3.0,3.1,,3.3
8,2018,8.5,6.8,7.7,5.9,4.3,4.6,4.1,3.0,2.7,3.3,2.8,2.8,2.9,3.0,3.2,2.8,3.3,,3.3
7,2018,8.6,7.0,7.8,6.2,3.9,3.8,4.0,2.9,2.8,3.1,2.7,2.8,2.7,2.8,3.1,2.6,3.1,,3.1
9,2018,8.5,6.7,7.3,6.0,4.1,4.1,4.1,3.2,2.9,3.4,2.9,2.8,2.9,3.2,3.1,3.3,3.3,,3.4
10,2018,8.9,6.8,7.5,6.0,4.2,4.0,4.5,3.1,2.8,3.5,2.9,2.8,3.0,3.2,3.4,3.0,3.4,,3.5
11,2018,9.0,7.1,8.0,6.2,4.3,4.1,4.6,3.1,3.0,3.1,3.0,3.1,2.8,3.0,3.3,2.4,3.3,,3.3
6,2018,8.9,7.5,8.3,6.7,3.9,3.8,4.0,3.1,3.0,3.2,3.0,3.0,3.0,3.1,3.2,2.9,3.3,,3.3
0,2018,8.7,7.2,7.9,6.4,3.9,3.7,4.2,2.8,2.8,2.7,2.9,3.0,2.8,2.9,2.9,2.8,3.1,,3.1
